id,text,top_tone,tones,violence_score
98,"This combination of images shows Canada-based goalkeeper Zeeyana Jivraj, Greek top-division side OFI Crete player Aqsa Mushtaq and striker for England's West Bromwich Albion Mariam Mahmood. — ReporterKARACHI: Pakistan's women's national football team is poised to integrate a larger...",Passive-Aggressive,,0.674
99,"Gold medallist Summer McIntosh of Canada holds the flag of Canada during the women's 200m butterfly victory ceremony at the Paris 2024 Olympics, Paris La Defense Arena, Nanterre, France, August 1, 2024. — ReutersMONTREAL: Summer McIntosh captured her third world record in a matter of days on...",Passive-Aggressive,Passive-Aggressive,0.541
100,"Multiple gold medal winning Canadian Olympian Summer McIntosh poses with her Olympic medals at the Rogers Centre, Toronto, Canada, August 23, 2024. — AFPMONTREAL: Summer McIntosh shattered the decade-old world record in the women’s 200m individual medley on Monday, clocking 2 minutes...",Passive-Aggressive,Passive-Aggressive,0.659
101,"Merab Dvalishvili reacts after defeating Sean O'Malley in a bantamweight title fight during UFC 316 at Prudential Center in Newark, New Jersey, US on June 7, 2025. — ReutersMerab Dvalishvili cemented his reign as the UFC Bantamweight Champion on Saturday night at UFC 316, dominating...",Passive-Aggressive,"Passive-Aggressive, Criticism, Sarcastic",0.728
102,"Soccer Football - Saudi Pro League - Al Nassr v Al Okhdood - Al-Awwal Park, Riyadh, Saudi Arabia - November 24, 2023 Al Nassr's Cristiano Ronaldo reacts. — ReutersMUNICH: Cristiano Ronaldo scored the winner in a 2-1 victory over Germany in Munich on Wednesday, sending Portugal through to the...",Passive-Aggressive,Passive-Aggressive,0.563
103,"Pakistan's opening batter Saim Ayub and Mohammad Haris tap with the bat after reaching fifty-run partnership during the third T20I against Pakistan at Gaddafi Stadium in Lahore on June 1, 2025. – PCBPakistan completed T20I series sweep against Bangladesh as they sealed victory in the third...",Passive-Aggressive,,0.699
104,Ukraine’s foreign minister denounced the statements as evidence of Russian “disdain” for US peace efforts.,Criticism,"Criticism, Offensive, Passive-Aggressive",0.578
105,"Though roughly equal in the number of troops, the two militaries bring strikingly different tactics and firepower.",Offensive,Offensive,0.95
106,"The Iranian Foreign Minister has been in Geneva to meet with European counterparts, who are hopeful an ""off-ramp"" can be negotiated within the two-week window set out by US President Donald Trump.",Criticism,"Criticism, Passive-Aggressive",0.552
107,"A Mossad plot is just one of a series of events that have weakened Iran’s proxies, leaving it dangerously exposed.",Offensive,,0.774
108,"Click to expand Image A boy stands amid the ruins of a collapsed building following Israeli bombardment in the Bureij camp for Palestinian refugees in the central Gaza Strip, May 23, 2025. © 2025 Eyad Baba/AFP via Getty Images Last year was the most devastating year for children in armed conflict in two decades, according to the new annual report from United Nations Secretary-General Antonio Guterres. The UN verified 41,370 grave violations against children in 2024, a 25 percent increase over 2023, the previous record high. While non-state armed groups were responsible for approximately half of all the report’s recorded abuses in 2024, government forces were behind most attacks on schools and hospitals, killing and maiming of children, and denial of access to humanitarian aid. Other grave violations monitored by the UN include abduction, sexual violence, and the recruitment and use of children by armed forces or groups. The highest number of abuses verified in 2024 took place in Israel/Palestine, the Democratic Republic of Congo, Somalia, Nigeria, and Haiti. The 8,554 violations documented in Israel/Palestine are more than double any other context, with nearly 85 percent committed by Israeli forces. The Israeli authorities have starved, killed, and maimed thousands of Palestinian children in Gaza and are responsible for ongoing war crimes, crimes against humanity, and acts of genocide. Violations in Ukraine sharply decreased in 2023, but doubled last year. The large majority were by Russian forces, which were responsible for nearly 700 attacks on schools and hospitals, the highest of any country monitored. Each year, the secretary-general lists the governments and non-state armed groups responsible for grave violations in an annex, known as the “list of shame.” Russian forces were added to the list in 2023, and Israeli forces were included for the first time in 2024. Abuses by both have since escalated, and neither state has engaged with the UN to negotiate and implement an action plan to end these violations, the only way – according to UN criteria – that parties can be removed from the list. The secretary-general removed several parties from his list this year despite their continued violations. These included the Somali National Army, and the Houthis and Security Belt Forces in Yemen. UN data captures only a fraction of actual violations against children. In Sudan, for example, warring parties have committed widespread atrocities against children, but many violations are never reported or verified due to parties’ deliberate restrictions on humanitarian access. The horrific toll of armed conflict on children demands action. All UN member states should use their influence – whether diplomatically, by not arming abusive forces, and through investigation and prosecution of war crimes – to better protect children from war.",Offensive,"Offensive, Criticism, Passive-Aggressive",0.909
109,"In Nepal’s latest attempt to silence online speech, police are trying to arrest a well-known journalist who published on his YouTube channel claims about the business interests of a leading political family. Click to expand Image Dil Bhushan Pathak. © Private Dil Bhushan Pathak reported three weeks ago about the alleged investments of a member of a political family. Kathmandu’s district court issued an arrest warrant for him on June 11 following a complaint by the family to the Cyber Bureau of Nepal Police. On June 16, the Patan high court issued a temporary order that Pathak should not be arrested, but on June 17 police issued a fresh summons to Pathak in apparent disregard of the court order. At the time of writing this dispatch, police had not been able to locate Pathak. Pathak is being sought under Nepal’s Electronic Transactions Act, a law which is purportedly designed to regulate online transactions, but which has previously been used to arrest people in relation to online speech. On the same day that the district court issued the arrest warrant it also used the same law to order two news sites to remove stories referring to the Securities and Exchange Board of Nepal. Last week, a government minister reportedly telephoned the director of a separate media company and threatened that to “take action to bring [the company] down” if it did not remove reporting of Pathak’s case from its website. The minister has denied the allegation While Nepali authorities have sometimes sought to silence traditional newspapers and broadcasters, most recent cases relate to social media and online news portals. Last year, police used cybercrimes charges to arrest at least two people who had posted photos or videos critical of political leaders. “Whenever someone raises questions about a public figure in Nepal, there is a tendency to file a cybercrime case without any investigation,” former Supreme Court Justice Balram KC told the Nepali Times. Earlier this year, Nepal’s parliament adopted a controversial new Media Council Act, which empowers the government to appoint the head of a new media regulator. Press freedom advocates have also expressed concern at a proposed new law that would create vague, new criminal offences related to social media, punishable with jail terms of up to five years and fines up to NRs1.5 million (US$10,800). The Nepal Police should withdraw the arrest warrant against Dil Bhushan Pathak and the government should stop trying to silence journalists and other Nepalis.",Criticism,"Criticism, Passive-Aggressive, Offensive",0.747
110,"Reacting to the sentencing to lengthy prison terms of seven media workers in the “Abzas Media case” in Azerbaijan, Marie Struthers, Amnesty International’s Eastern Europe and Central Asia Director, said: “The case against Abzas Media is an example of how Azerbaijan’s judicial system is being weaponized to muzzle independent journalism and calls for a strong […] The post Azerbaijan: Seven journalists sentenced in latest shocking crackdown on free speech appeared first on Amnesty International .",Criticism,"Criticism, Offensive",0.909
111,"JPMorgan Chase CEO Jamie Dimon warns American businesses about a critical skills shortage, not just a worker shortage. He urges corporate leaders to collaborate with schools to bridge the talent gap in cybersecurity, coding, and financial literacy. Dimon advocates for companies to invest in education pipelines and promote curricula that integrate job-ready skills with academics to foster economic growth.",Criticism,Criticism,0.508
112,"Ravi Shastri lauded Rishabh Pant's impressive century in the Anderson-Tendulkar Trophy Test. Pant surpassed MS Dhoni with his seventh Test century. Shastri described Pant as an 'outrageous' and entertaining player. Sunil Gavaskar praised Pant's century, contrasting with earlier criticism. Shastri noted India's aggressive run rate. He hoped for overcast conditions to aid India's bowling attack.",Offensive,,0.875
113,US President Donald Trump says he doesn't care if his claims on Iran's nuclear weapon contradict the Intelligence.,Criticism,"Criticism, Passive-Aggressive, Offensive",0.603
114,"Trump has repeatedly said he averted a nuclear war, saved millions of lives - and grumbled that he got no credit for it.",Criticism,Criticism,0.69
115,"Anti-regime Iranians agree the Islamic Republic must fall, but differ on the Iran-Israel conflict and response.",Criticism,"Criticism, Offensive, Passive-Aggressive",0.746
116,"The cause of the sinking, which killed seven of the 22 people onboard, is still under investigation.",Criticism,Criticism,0.899
117,"As high temperatures have become more common in recent years, some people are adjusting, including by investing in air-conditioners.",Sarcastic,,0.523
118,"Moscow has hoped to mend relations with the United States while continuing to wage war in Ukraine, but Mr. Putin’s insistence on pushing his offensive has come at a diplomatic cost.",Offensive,"Offensive, Criticism",0.981
119,It’s the first full day of summer. Make sure you don’t miss a minute of it.,Criticism,,0.602
120,,,,0.0
121,The Israeli military needs American help to destroy a key nuclear site in Iran. Waiting for that help comes with risks for Israel.,Offensive,,0.806
122,The protests and police shooting on Tuesday came nearly a year after demonstrations against President William Ruto of Kenya convulsed the country.,Criticism,"Criticism, Passive-Aggressive",0.994
123,"The official led a powerful and highly sensitive commission at Interpol’s headquarters in Lyon, France.",Criticism,Criticism,0.786
124,"Pouria Amirshahi, a leftist member of Parliament, said that he hoped that the decision would be reversed. On Friday, Mr. Amirshahi said he had received his visa.",Criticism,"Criticism, Offensive",0.724
125,"IAEA chief Rafael Grossi confirms Iran has nuclear material but says he is not seeing ""any tangible proof that there's a program, or a plan ... to manufacture a nuclear weapon.""",Criticism,"Criticism, Passive-Aggressive",0.608
126,"Former Trump ambassador labels UNIFIL ""the most spectacular failure"" as the U.N. force faces potential mandate termination for ineffectiveness against Hezbollah's military buildup.",Criticism,"Criticism, Sarcastic, Offensive, Passive-Aggressive",0.738
127,"Germany's international broadcaster will be headed by a woman for the first time, after the DW Broadcasting Council appointed Barbara Massing as new Director General. She will replace Peter Limbourg on October 1, 2025.",Criticism,"Criticism, Passive-Aggressive",0.643
128,"Cindy Seni, best known for her time on Netflix's hit dating show ""Jewish Matchmaking,"" holds onto faith and admires Israeli resilience amid conflicts with Iran and Hamas.",Criticism,,0.622
129,Emergency flights bring Israelis home amid war with Iran. Citizens resorted to extreme measures like tugboat journeys to return while missiles strike their homeland.,Passive-Aggressive,,0.957
130,"Mass grave excavation begins at a former mother-and-baby home in Ireland, where remains of 800 infants and young children were discovered in an underground sewage structure.",Offensive,,0.924
131,"Yvonne Ford, from Barnsley, had contact with stray animal while on holiday, UK Health Security Agency says A woman from Yorkshire has died from rabies after contact with a stray dog while on holiday in Morocco, the UK Health Security Agency (UKHSA) has said. Yvonne Ford, from Barnsley in South Yorkshire, was diagnosed in Yorkshire and Humber after returning from the north African country in February. Continue reading...",Passive-Aggressive,"Passive-Aggressive, Criticism, Sarcastic",0.86
132,"Mount Lewotobi Laki-Laki on the island of Flores, east of Bali, erupted on Tuesday afternoon, leading to several airlines cancelling flights A volcano in eastern Indonesia has spewed a colossal ash tower into the sky, forcing the cancellation of dozens of flights to and from Bali. Mount Lewotobi Laki-Laki, a 1,584m twin-peaked volcano on the tourist island of Flores, east of Bali, erupted at 5.35pm local time on Tuesday, the volcanology agency said in a statement. Continue reading...",Criticism,"Criticism, Sarcastic, Passive-Aggressive",0.996
133,"The last in a series of increases to employers’ minimum contribution from 9% over more than a decade will come into effect on 1 July Get our breaking news email , free app or daily news podcast Australian workers can look forward to a bigger nest egg, with an increase to the superannuation guarantee to add tens of thousands of dollars to the average super account. From 1 July, employers’ minimum required contribution to employees’ superannuation accounts will rise from 11.5% to 12%. Continue reading...",Criticism,"Criticism, Passive-Aggressive, Sarcastic",0.622
134,"The leaders of Russia and Indonesia met in St Petersburg, where they lauded strong bilateral ties and Jakarta's new role in the BRICS grouping.",Passive-Aggressive,,0.518
135,"At least 34 soldiers were killed in the latest attack by Islamist groups, Niger's military leaders say.",Offensive,"Offensive, Criticism",0.993
136,"‘Transformative’ project wins the 2025 architecture medallion as town centres, industrial restorations and residential homes collect other awards of note Get our breaking news email , free app or daily news podcast Sydney’s recently opened network of city metro stations have taken out one of the top prizes at the Australian Institute of Architects’ 2025 NSW Architecture awards, announced on Friday night. Dozens of Australian architecture firms, engineering companies, landscape designers and public art experts shared in the 2025 NSW architecture medallion for their work on the Central, Barangaroo, Gadigal, Victoria Cross, Martin Place, Waterloo, Sydenham and Crows Nest stations in what the judges hailed as a “legacy-making” and “city-shaping” cross-sector collaboration. Continue reading...",Criticism,Criticism,0.52
137,"Iran’s foreign minister urges US not to join war after a night of strikes from both Tehran and Israel Full report: Israel says it has killed two al-Quds officials as Iran warns US against joining war The United Nations high commissioner for refugees, Filippo Grandi , has urged more international support for Syria to speed up reconstruction and enable further refugee returns after 14 years of civil war, reports Agence France-Presse (AFP). “I am here also to really make an appeal to the international community to provide more help, more assistance to the Syrian government in this big challenge of recovery of the country,” Grandi told reporters on Friday on the sidelines of a visit to Damascus . Iran is ready to consider diplomacy once again – once the aggression is stopped and the aggressor is held accountable for the crimes committed. Continue reading...",Offensive,"Offensive, Criticism, Passive-Aggressive",0.93
138,"As Israel and Iran continue missile attacks against one another, we look at how countries in the Middle East are viewing the conflict. Whether that war could spread and if other powers in the region are bracing for a wider conflict. And we hear from some residents of Tehran weighing the decision of fleeing the Iranian capital as President Trump commanded or staying and taking their chances.",Criticism,"Criticism, Offensive",0.997
139,Iran is engaging in diplomatic efforts on multiple fronts as its battle with Israel enters a second week.,Criticism,Criticism,0.698
140,"Renewed strikes in Israel and Iran come after Tehran ruled out a return to nuclear talks until Israel halts its strikes, and Israel's army told Israelis to brace for a ""prolonged campaign.""",Criticism,"Criticism, Offensive, Passive-Aggressive",0.991
141,"As people in Israel wait out repeated missile attacks, some wonder how the conflict with Iran will impact the war in Gaza and the fate of hostages still held there.",Criticism,Criticism,0.987
142,"The escalating conflict in the Middle East presents India with tough choices — balancing energy security, economic stability and its delicate diplomacy between Israel and Iran.",Criticism,,0.877
143,Lawmakers in Britain have taken a historic step toward allowing assisted dying. The change would see England and Wales join other countries that allow terminally ill adults to choose to end their lives.,Passive-Aggressive,,0.509
144,"Hostilities continue to escalate across Sudan’s North Darfur and Kordofan regions, with reports of civilian casualties, sexual violence, abductions and looting, the UN human rights chief warned on Friday, describing the consequences as disastrous.",Offensive,"Offensive, Criticism",0.997
145,"Last year, 41,370 grave violations against children were documented and verified by the United Nations, according to the Secretary-General's annual report on children in armed conflict, released on Thursday.",Criticism,,0.981
146,"More than 100 days into Israel’s complete fuel blockade in Gaza, UN agencies still in the shattered enclave warned on Thursday that vital services are only “hours away” from shutting down.",Criticism,"Criticism, Offensive",0.847
147,The ongoing crises in the Occupied Palestinian Territory and Sudan are in the spotlight this week at the UN Human Rights Council (HRC) in Geneva.,Criticism,Criticism,0.83
148,,,,0.0
149,"A public dispute has erupted within the US national security apparatus as Tulsi Gabbard adjusted her assessment of Iran's nuclear ambitions, following a direct contradiction from President Trump. Gabbard now acknowledges Iran could potentially develop a nuclear weapon within weeks to months if it chooses to proceed, a revision prompted by the president's strong disagreement and amidst ongoing tensions regarding the Iran-Israel conflict.",Criticism,"Criticism, Passive-Aggressive",0.775
150,"Following the tragic Air India Flight AI-171 crash in Ahmedabad, the Directorate General of Civil Aviation has directed Air India to remove three senior officials from crew scheduling roles. The crash, involving a Boeing 787-8 Dreamliner, resulted in 241 fatalities.",Criticism,Criticism,0.937
151,"A dispute has erupted among northern states over the central government's plan to divert surplus water from the Indus system. Jammu and Kashmir's chief minister Omar Abdullah opposes redirecting water to Punjab, citing drought-like conditions in his region. This stance has drawn criticism from Punjab's Congress MP, who emphasised Punjab's patriotism and contributions to national security.",Criticism,"Criticism, Passive-Aggressive",0.651
152,"A US diplomat, Dorothy Shea, created a stir at a UN Security Council meeting by mistakenly blaming Israel for regional chaos before correcting herself to point the finger at Iran. Despite the gaffe, Shea reaffirmed US support for Israel, particularly regarding actions against Iran's nuclear ambitions.",Criticism,"Criticism, Offensive",0.711
153,"Israel said Saturday it had killed three Iranian commanders in its unprecedented bombing campaign across the Islamic republic, which Foreign Minister Gideon Saar claimed had already delayed Tehran's presumed nuclear plans by two years. Israeli leaders also emphasized that the population should prepare for the possibility that the war could turn into a lengthy campaign. Details by FRANCE 24 senior reporter in Jerusalem, Catherine Norris Trent.",Criticism,"Criticism, Offensive",0.987
154,Argentine superstar Lionel Messi. — AFP/File A Lionel Messi trademark free-kick earned Inter Miami a shock 2-1 comeback win against Porto in the Club World Cup on Thursday.The Argentine superstar found the top corner with a second half set-piece to clinch a surprise victory for the...,Passive-Aggressive,,0.699
155,"South Africa's Kyle Verreynne in action running as he celebrates winning the 2025 ICC World Test Championship final against Australia at the Lord's Cricket Ground in London, UK on June 14, 2025. — ReutersThe International Cricket Council is reportedly open to incorporating four-day Test...",Passive-Aggressive,,0.597
156,"Babar Azam drills one through cover, Pakistan vs India, ICC Men's Champions Trophy, Dubai, February 23, 2025. — AFPEngland wicketkeeper-batter Sam Billings has showered praise on Pakistan’s star batter Babar Azam, following his signing with the Sydney Sixers for the upcoming 15th...",Passive-Aggressive,,0.789
157,"A bowling ball hits the pins at Hollywood Bowl in Lakeside in Grays, Britain, on August 18, 2020. — ReutersAs many as six franchises will compete at renowned venues in the inaugural season of the World Bowling League in early 2026, which is supported by baseball great Mookie Betts and...",Passive-Aggressive,Passive-Aggressive,0.686
158,"Soccer Football - International Friendly - England v Senegal - The City Ground, Nottingham, Britain - Senegal's Edouard Mendy and Nicolas Jackson celebrate after the match on June 10, 2025. — ReutersNOTTINGHAM: England were beaten by Senegal for the first time in 22 meetings, losing...",Passive-Aggressive,"Passive-Aggressive, Criticism, Sarcastic",0.607
159,"Carlos Alcaraz of Spain poses with the trophy after winning the French Open men’s singles final against Jannik Sinner of Italy on day 15 at Roland Garros Stadium, Paris, France, June 8, 2025. — ReutersPARIS: Carlos Alcaraz saved three championship points as he produced an astonishing...",Passive-Aggressive,Passive-Aggressive,0.602
160,"Swimmer Summer McIntosh of Canada holds the flag of Canada during the Paris 2024 Olympics Women's 200m Butterfly Victory Ceremony at Paris La Defense Arena, Nanterre, France on August 1, 2024. — ReutersSummer McIntosh smashed the women's 400-metre freestyle world record in winning the title...",Passive-Aggressive,,0.65
161,Israel and Iran have traded missile strikes as attempts to end the fighting via diplomacy have so far made little progress.,Criticism,"Criticism, Offensive, Passive-Aggressive",0.997
162,"The vote puts Britain on course to follow Australia, Canada and other countries, as well as some US states, in permitting assisted dying.",Passive-Aggressive,Passive-Aggressive,0.619
163,UNICEF says a shortage of fuel to operate wells and desalination plants in Gaza means the enclave “is facing what would amount to a man-made drought”.,Criticism,,0.575
164,It marks another victory for the Ivy League school as it challenges multiple government sanctions amid a battle with the White House.,Criticism,,0.541
165,"Only one bomb could destroy Iran’s nuclear stronghold, but if Donald Trump hands it over to Israel, multiple countries could be hit in retaliation.",Offensive,"Offensive, Criticism, Passive-Aggressive",0.989
166,Here are the key events on day eight of the Israel-Iran conflict.,Criticism,Criticism,0.818
167,"Ecuador's National Assembly in Quito on October 23, 2024. © 2024 Rodrigo Buendia/AFP via Getty Images (Washington, DC) – New laws passed by Ecuador’s National Assembly and signed by President Daniel Noboa include dangerous provisions that threaten the rights of Ecuadorians, Human Rights Watch said today. On June 7, 2025, the newly appointed National Assembly approved through an expedited process the National Solidarity Law, which grants the president sweeping powers to declare and respond to an “internal armed conflict.” On June 10, the Assembly approved an Intelligence Law that creates a legal framework for intelligence and counterintelligence activities and operations. The legislation opens the door to the unjustifiable use of lethal force, threatens accountability for abuses by security forces, and undermines safeguards on intelligence gathering. “While Ecuador urgently needs to address insecurity and organized crime, these new laws will do more harm than good,” said Juanita Goebertus, Americas director at Human Rights Watch. “Security won’t be built on rushed, poorly drafted, and overly broad legislation. It requires careful debate, strong safeguards, and respect for rights.” In recent years, Ecuador has experienced a sharp rise in violence linked to organized crime, driving homicide rates to record levels in 2023, with more than 47 homicides per 100,000 people, according to the Ecuadorian Observatory for Organized Crime. In 2024, the Observatory reported a roughly 15 percent decrease in homicides. Yet homicides, in most cases committed by criminal groups, have increased again in 2025, according to government data. The Assembly approved the National Solidarity Law based on a proposal sent by President Noboa in May. The law allows the president to declare an armed conflict, which allows security forces to use lethal force in situations in which international human rights law and Ecuadorian law would otherwise prohibit it. The apparent aim of the law is to give the authorities a freer hand in combating crime by dispensing with crucial human rights protections. The Constitutional Court in several rulings has not accepted “internal armed conflict” as a justification for President Noboa’s declarations of a state of emergency, because the government’s arguments did not allow the court to verify the existence of the criteria established under international law for the existence of such armed conflict. States of emergency under Ecuador’s Constitution have limitations on their duration and on the rights that can be suspended, and they are subject to oversight by the Constitutional Court. The new law creates a special legal regime that attempts to circumvent the constitutional framework for states of emergency, including Constitutional Court review. The “armed conflict” framework established by the National Solidarity Law opens the door to serious human rights violations and will have consequences for Ecuadorians, Human Rights Watch said. The law allows security forces to conduct raids without warrants and to set aside restrictions on the use of lethal force that are essential to rights-respecting law enforcement. The law defines “organized armed groups” who can be targeted as parties to an armed conflict vaguely to include groups made up of as few as three members who engage in “prolonged violence.” Law enforcement officials have the authority to determine which groups qualify as parties to the conflict. The law allows the president to pardon members of the security forces who are under investigation for crimes committed during the supposed “armed conflict.” The law also prohibits the use of pretrial detention, house arrest, or electronic monitoring against members of security forces under investigation and establishes that they will continue performing their duties even while they are under investigation. The Intelligence Law establishes a National Intelligence System composed of military, police, financial, tax, customs, penitentiary, and presidential security agencies, all coordinated by a governing body whose head is appointed by the president. The Intelligence Law contains risky provisions that seem to depart from the constitution’s protections of the rights to personal data, which require the authorization of the owner or a legal mandate to collect the data; to personal and family privacy; and to the inviolability and secrecy of all types and forms of communication. Under the constitution, this information may not be accessed except in the cases provided for by law, after judicial authorization. Under the new law, state entities, public and private institutions, companies, and individuals are required without exception to provide information to the National Intelligence System., with no court order required. This includes telephone operators, who will be required to hand over both previous and real-time data on people’s communications and connections without a court order. In addition, the National Intelligence System may intercept communications on vague grounds of “national security” without a court order. These provisions undermine privacy and interfere with the right to private life and correspondence, Human Rights Watch said. The law could also create a chilling effect for free speech and put at risk professions protected by confidentiality—such as doctors, lawyers, and journalists—by potentially requiring them to disclose sensitive information. These laws should be reviewed to ensure their alignment with the constitution and international human rights obligations. “Ecuadorians should not have to choose between security and human rights,” Goebertus said. “Lasting security won’t come from granting unchecked power to security and intelligence agencies, but from strengthening the justice system, dismantling illicit economies, and protecting the rule of law.”",Criticism,"Criticism, Passive-Aggressive, Offensive, Sarcastic, Neutral",0.516
168,"Click to expand Image Pastor Robert Turner walks near the National Museum of African American History and Culture as part of his monthly walk from Baltimore to Washington to raise awareness of reparations on April 16, 2025, in Washington, DC. © 2025 AP Photo/Nathan Howard Juneteenth, celebrated annually in the United States on June 19, commemorates the liberation of enslaved Black people. It marks the day in 1865 when Union soldiers arrived in Galveston, Texas and ordered the enforcement of the Emancipation Proclamation, more than two years after it was issued. While it is a day of reflection and celebrating resilience, it also reminds us how anti-Black racism continues to shape our society. The fight for reparations is central to the broader movement for racial justice. The legacy of enslavement and subsequent discriminatory policies and practices have imposed lasting harm on Black communities, including economic, education, employment, health, and housing inequalities. The fight for reparations isn’t solely about financial compensation, but also acknowledgment of past harms, restorative justice, and systemic change for the future. In recent years, the reparations movement has gained momentum, particularly with local and state governments that took steps toward enacting comprehensive reparations plans. Some areas established task forces and committees modeled after H.R. 40, federal legislation which would establish a committee to study and develop proposals for reparations, including financial payments, housing assistance, and scholarship programs. These efforts demonstrate that addressing historical injustices requires tangible action rooted in local communities, as well as an understanding of the importance of healing for victims of racial trauma and systemic inequities. History teaches us that the legacies of historic injustices tend to fester if left untreated. The observation of Juneteenth is a positive step in the right direction, but like public apologies, it isn’t enough. The United States should also heed the call for reparations if it is serious about achieving racial equity. Justice for the descendants of enslaved Black people isn’t just about righting the wrongs of the past but about building a foundation for a more equitable future. To better understand the reparations movement and how to get involved, please view our “Why Reparations” question-and-answer document, which addresses common questions about reparations, the avenues available to achieve reparations, and how to get involved in the movement.",Criticism,"Criticism, Passive-Aggressive, Sarcastic",0.389
169,"Click to expand Image A primary school devastated after Cyclone Chido in Doujani, Mayotte, December 27, 2024. © 2024 Lemor David/ABACA/Shutterstock (Paris) – A bill before France’s National Assembly for the reconstruction of the overseas department of Mayotte should include access to education and other core economic and social rights of children, Human Rights Watch said today. Mayotte, in the Indian Ocean northwest of Madagascar, has long been neglected by French authorities, and its educational system has for years faced a lack of school facilities, overcrowding, and teacher shortages. Children with undocumented parents and others living in shantytowns are disproportionately likely to face barriers in school enrolment. A drought has caused frequent water shortages, and a devastating cyclone in December 2024 caused widespread destruction to homes, schools, and other infrastructure. “Education is not only a right for all children, it is compulsory throughout France from age 3 to 16,” said Elvire Fondacci, advocacy officer at Human Rights Watch. “Yet thousands of children in Mayotte, due to their nationality or migration status, cannot effectively access education or other basic social support.” Human Rights Watch met with more than 40 children and parents, as well as civil society organizations, independent institutions, teachers and education staff, and government and local officials during a 10-day research trip to Mayotte in May 2025. Mayotte is one of 13 overseas territories of France, all legacies of its colonial past. It is France’s poorest department and one of the most disadvantaged parts of the European Union. More than 75 percent of its population lives below the poverty line. Nearly half of Mayotte’s population is under age 18, and 8 out of 10 children live in poverty. With overcrowded schools and classrooms, Mayotte’s education system was under strain well before the 2024 cyclone. A 2023 University of Paris-Nanterre study found that as much as nine percent of Mayotte’s school-age population were not enrolled in school. The French Defender of Rights found in October 2023 that as many as 15,000 children did not have access to a full school day in public school. Education is free, compulsory between the ages of 3 and 16, and by law should be available to all children in France regardless of migration status. Primary education is largely the responsibility of municipalities, some of which have imposed additional burdensome administrative requirements for school enrolment. Some require newly issued birth certificates or documents to establish children’s addresses: paperwork that families living in informal settlements or with irregular status may not be able to obtain. Some local authorities are also reluctant to build new schools, perceived as primarily benefitting children of immigrant families from the neighbouring Comoro Islands or encouraging further migration. Depriving children of their fundamental rights, including education, should never be used as a deterrent to migration, Human Rights Watch said. The French Defender of Rights observed at the beginning of June that shortcomings in Mayotte’s education system exacerbate and entrench inequality. Fear of arrest by border police near schools and municipal offices discourages many families from accompanying their children to school or accessing essential public services such as vaccination, and makes school enrollment procedures more difficult. Increasingly restrictive migration policies – even more so than in mainland France – that apply specifically to Mayotte mean an increasing number of people become undocumented at age 18, regardless of how long they have lived there, and even if they were born there. Children’s uncertainty about their future causes anxiety and leads some to leave school early. A staff member at a local organization supporting out-of-school children said, “At 13 years old, some students are already asking whether it’s worth staying in school.” Thousands of children in Mayotte live in the islands’ many informal settlements, often in makeshift dwellings lacking access to running water or electricity. Some students study by candlelight or using a phone flashlight; others leave their notebooks at school to avoid rain damage. Children in all informal settlements often experience malnutrition, and teachers report that some students fall asleep in class or are unable to concentrate because they are hungry. Unlike in mainland France, where students receive a full lunch, most schools in Mayotte only provide a snack. For many students, this may be the only meal of the day. “My parents can’t find rice anymore” since the cyclone, a 12-year-old girl said. “One day we eat, the next we don’t. It’s every other day. I eat the snacks at school.” Other children whose families cannot afford the fee for the snacks – for instance, €65 per year in primary schools in Mamoudzou, Mayotte’s largest city – end up going without food at all. One 15-year-old student said: “It’s hard to live in a slum. If you haven’t paid for the snack, you don’t eat. It’s really hard to go to school when you’re hungry.” Many children, including French children born in Mayotte, long-term residents without French citizenship, and recent arrivals, do not speak French as their first language and may have limited French proficiency. Failure to support these students and provide teacher training, and to recognize that the region’s linguistic diversity is in apparent contradiction with national education requirements, makes learning extremely difficult for students and poses additional challenges for educators. Children of asylum seekers or other recently arrived migrants from Central and East African countries, including the Democratic Republic of Congo, Eritrea, Rwanda, and Somalia, live in particularly dire conditions in dilapidated tents in an informal settlement with no toilets for its hundreds of residents and no access to education. The National Assembly will soon debate a bill setting forth the priorities and framework for a specific public policy regarding Mayotte’s reconstruction. Lawmakers should ensure that children living in Mayotte can exercise their fundamental rights, including the right to education. National and local authorities should urgently ensure that schools are equipped to meet children’s basic needs, including access to drinking water, sanitation, nutritious food, and a safe learning environment, and end discriminatory practices in school without waiting for new legislation, Human Rights Watch said. “The bill before the National Assembly is an opportunity to correct decades of underinvestment, mismanagement, and persistent lack of political will that have severely undermined education in Mayotte,” Fondacci said. “Ensuring the right to education for all children in France is not optional in Mayotte simply because it is an overseas territory.”",Criticism,"Criticism, Passive-Aggressive, Offensive, Sarcastic, Neutral",0.578
